LEAGUE,PLAYER_ID,POSITION,SEASON,AGE_SEPT_15,GP,G,A,TP,PPG,SEASON_NO,SEASON_>20GP,CUM_GP,ONLY_1_SEASON,MIN_3_SEASONS,DOB,DY_STATUS,SHOOTS,DRAFTED,NHL_PPG,NHL_GP
OHL,101143/david-nemecek,D,2013,18.211111,34,0,2,2,0.060000,1,1,34,0,1,1995-06-29,DY,L,No,0.000000,0
WHL,101143/david-nemecek,D,2014,19.211111,56,5,10,15,0.267857,2,2,90,0,1,1995-06-29,DY+1,L,No,0.000000,0
USHL,101143/david-nemecek,D,2016,21.211111,60,2,7,9,0.150000,3,3,150,0,1,1995-06-29,DY+3,L,No,0.000000,0
WHL,101158/adam-rehak,F,2012,19.969444,16,2,2,4,0.250000,1,0,16,1,0,1992-09-26,DY+1,L,No,0.000000,0
QMJHL,101192/kris-hodge,F,2013,17.925000,42,6,8,14,0.333333,1,1,42,0,1,1995-10-12,DY-1,L,No,0.000000,0
QMJHL,101192/kris-hodge,F,2014,18.925000,67,9,22,31,0.462687,2,2,109,0,1,1995-10-12,DY,L,No,0.000000,0
QMJHL,101192/kris-hodge,F,2015,19.925000,39,0,10,10,0.256410,3,3,148,0,1,1995-10-12,DY+1,L,No,0.000000,0
QMJHL,101208/andrew-meredith,F,2011,17.330556,22,0,1,1,0.050000,1,1,22,0,0,1994-05-16,DY-1,L,No,0.000000,0
QMJHL,101208/andrew-meredith,F,2013,19.330556,35,4,6,10,0.285714,2,2,57,0,0,1994-05-16,DY+1,L,No,0.000000,0
QMJHL,101208/andrew-meredith,F,2014,20.330556,1,1,0,1,1.000000,3,0,58,0,0,1994-05-16,DY+2,L,No,0.000000,0
QMJHL,101209/julien-lepage,D,2011,17.652778,32,0,4,4,0.130000,1,1,32,0,1,1994-01-20,DY-1,L,No,0.000000,0
QMJHL,101209/julien-lepage,D,2012,18.652778,57,1,7,8,0.140000,2,2,89,0,1,1994-01-20,DY,L,No,0.000000,0
QMJHL,101209/julien-lepage,D,2013,19.652778,59,3,16,19,0.322034,3,3,148,0,1,1994-01-20,DY+1,L,No,0.000000,0
QMJHL,101209/julien-lepage,D,2014,20.652778,54,2,9,11,0.203704,4,4,202,0,1,1994-01-20,DY+2,L,No,0.000000,0
OHL,101219/ondrej-kopta,F,2013,18.411111,51,3,8,11,0.215686,1,1,51,1,0,1995-04-17,DY,L,No,0.000000,0
OHL,101221/dominik-kubalik,F,2013,18.066667,67,17,17,34,0.507463,1,1,67,0,0,1995-08-21,DY,L,Yes,0.000000,0
OHL,101221/dominik-kubalik,F,2014,19.066667,59,18,11,29,0.491525,2,2,126,0,0,1995-08-21,DY+1,L,Yes,0.000000,0
QMJHL,101225/jan-mandat,F,2014,18.825000,61,12,21,33,0.540984,1,1,61,0,1,1995-11-18,DY,L,No,0.000000,0
QMJHL,101225/jan-mandat,F,2015,19.825000,57,17,19,36,0.631579,2,2,118,0,1,1995-11-18,DY+1,L,No,0.000000,0
QMJHL,101225/jan-mandat,F,2016,20.825000,62,20,44,64,1.032258,3,3,180,0,1,1995-11-18,DY+2,L,No,0.000000,0
OHL,101228/david-sysala,F,2013,18.361111,11,1,0,1,0.090000,1,0,11,1,0,1995-05-05,DY,L,No,0.000000,0
WHL,10123/denis-rehak,D,2004,19.336111,25,0,3,3,0.120000,1,1,25,1,0,1985-05-14,DY+1,L,Yes,0.000000,0
QMJHL,101252/patrik-zdrahal,F,2013,18.433333,64,20,27,47,0.734375,1,1,64,0,0,1995-04-09,DY,L,No,0.000000,0
QMJHL,101252/patrik-zdrahal,F,2014,19.433333,49,13,19,32,0.653061,2,2,113,0,0,1995-04-09,DY+1,L,No,0.000000,0
QMJHL,101414/bryan-main,D,2006,18.613889,61,2,7,9,0.150000,1,1,61,0,1,1988-02-04,DY,R,No,0.000000,0
QMJHL,101414/bryan-main,D,2007,19.613889,68,3,7,10,0.147059,2,2,129,0,1,1988-02-04,DY+1,R,No,0.000000,0
QMJHL,101414/bryan-main,D,2008,20.613889,66,2,14,16,0.242424,3,3,195,0,1,1988-02-04,DY+2,R,No,0.000000,0
USHL,101415/mason-jobst,F,2011,17.577778,2,1,1,2,1.000000,1,0,2,0,1,1994-02-17,DY-1,L,No,0.000000,0
USHL,101415/mason-jobst,F,2012,18.577778,32,2,8,10,0.312500,2,1,34,0,1,1994-02-17,DY,L,No,0.000000,0
USHL,101415/mason-jobst,F,2013,19.577778,64,6,18,24,0.375000,3,2,98,0,1,1994-02-17,DY+1,L,No,0.000000,0
USHL,101415/mason-jobst,F,2014,20.577778,49,10,35,45,0.918367,4,3,147,0,1,1994-02-17,DY+2,L,No,0.000000,0
USHL,101415/mason-jobst,F,2015,21.577778,11,2,5,7,0.636364,5,0,158,0,1,1994-02-17,DY+3,L,No,0.000000,0
QMJHL,101417/kris-macdonald,F,2005,19.652778,57,2,3,5,0.090000,1,1,57,0,0,1986-01-20,DY+1,L,No,0.000000,0
QMJHL,101417/kris-macdonald,F,2006,20.652778,62,3,4,7,0.110000,2,2,119,0,0,1986-01-20,DY+2,L,No,0.000000,0
QMJHL,101421/jordan-mcinnis,F,2012,19.219444,2,0,2,2,1.000000,1,0,2,1,0,1993-06-26,DY+1,-,No,0.000000,0
USHL,101430/nathan-walker,F,2013,19.605556,29,7,20,27,0.931034,1,1,29,1,0,1994-02-07,DY+1,L,Yes,0.166667,12
QMJHL,1015/johnny-oduya,D,2001,19.955556,68,14,54,68,1.000000,1,1,68,1,0,1981-10-01,DY+1,L,Yes,0.223529,850
USHL,101512/joel-herbert,F,2015,21.225000,51,3,8,11,0.215686,1,1,51,1,0,1994-06-24,DY+3,L,No,0.000000,0
OHL,10157/jordan-staal,F,2005,17.013889,66,9,19,28,0.424242,1,1,66,0,0,1988-09-10,DY-1,L,Yes,0.571109,893
OHL,10157/jordan-staal,F,2006,18.013889,68,28,40,68,1.000000,2,2,134,0,0,1988-09-10,DY,L,Yes,0.571109,893
WHL,101578/josh-connolly,D,2013,18.058333,53,1,5,6,0.110000,1,1,53,0,1,1995-08-24,DY,R,No,0.000000,0
WHL,101578/josh-connolly,D,2014,19.058333,72,11,34,45,0.625000,2,2,125,0,1,1995-08-24,DY+1,R,No,0.000000,0
WHL,101578/josh-connolly,D,2015,20.058333,63,13,41,54,0.857143,3,3,188,0,1,1995-08-24,DY+2,R,No,0.000000,0
OHL,10158/jared-staal,F,2007,17.066667,63,2,1,3,0.050000,1,1,63,0,1,1990-08-21,DY-1,R,Yes,0.000000,2
OHL,10158/jared-staal,F,2008,18.066667,60,21,28,49,0.816667,2,2,123,0,1,1990-08-21,DY,R,Yes,0.000000,2
OHL,10158/jared-staal,F,2009,19.066667,67,19,33,52,0.776119,3,3,190,0,1,1990-08-21,DY+1,R,Yes,0.000000,2
OHL,10158/jared-staal,F,2010,20.066667,59,12,37,49,0.830508,4,4,249,0,1,1990-08-21,DY+2,R,Yes,0.000000,2
WHL,101580/macoy-erkamps,D,2012,17.619444,63,4,16,20,0.317460,1,1,63,0,1,1995-02-02,DY-1,R,No,0.000000,0
WHL,101580/macoy-erkamps,D,2013,18.619444,72,5,30,35,0.486111,2,2,135,0,1,1995-02-02,DY,R,No,0.000000,0
WHL,101580/macoy-erkamps,D,2014,19.619444,66,5,26,31,0.469697,3,3,201,0,1,1995-02-02,DY+1,R,No,0.000000,0
WHL,101580/macoy-erkamps,D,2015,20.619444,68,3,28,31,0.455882,4,4,269,0,1,1995-02-02,DY+2,R,No,0.000000,0
WHL,101580/macoy-erkamps,D,2016,21.619444,72,13,58,71,0.986111,5,5,341,0,1,1995-02-02,DY+3,R,No,0.000000,0
WHL,101581/shea-theodore,D,2012,17.116667,69,4,31,35,0.507246,1,1,69,0,1,1995-08-03,DY-1,L,Yes,0.430052,193
WHL,101581/shea-theodore,D,2013,18.116667,71,19,31,50,0.704225,2,2,140,0,1,1995-08-03,DY,L,Yes,0.430052,193
WHL,101581/shea-theodore,D,2014,19.116667,70,22,57,79,1.128571,3,3,210,0,1,1995-08-03,DY+1,L,Yes,0.430052,193
WHL,101581/shea-theodore,D,2015,20.116667,43,13,35,48,1.116279,4,4,253,0,1,1995-08-03,DY+2,L,Yes,0.430052,193
WHL,101587/luke-bertolucci,F,2013,18.438889,41,2,4,6,0.150000,1,1,41,0,1,1995-04-07,DY,L,No,0.000000,0
WHL,101587/luke-bertolucci,F,2014,19.438889,63,6,14,20,0.317460,2,2,104,0,1,1995-04-07,DY+1,L,No,0.000000,0
WHL,101587/luke-bertolucci,F,2015,20.438889,57,9,17,26,0.456140,3,3,161,0,1,1995-04-07,DY+2,L,No,0.000000,0
WHL,101587/luke-bertolucci,F,2016,21.438889,67,5,12,17,0.253731,4,4,228,0,1,1995-04-07,DY+3,L,No,0.000000,0
WHL,101590/jackson-houck,F,2012,17.619444,53,8,12,20,0.377358,1,1,53,0,1,1995-02-02,DY-1,R,Yes,0.000000,0
WHL,101590/jackson-houck,F,2013,18.619444,69,23,34,57,0.826087,2,2,122,0,1,1995-02-02,DY,R,Yes,0.000000,0
WHL,101590/jackson-houck,F,2014,19.619444,69,34,27,61,0.884058,3,3,191,0,1,1995-02-02,DY+1,R,Yes,0.000000,0
WHL,101590/jackson-houck,F,2015,20.619444,65,22,29,51,0.784615,4,4,256,0,1,1995-02-02,DY+2,R,Yes,0.000000,0
WHL,101590/jackson-houck,F,2016,21.619444,56,20,33,53,0.946429,5,5,312,0,1,1995-02-02,DY+3,R,Yes,0.000000,0
WHL,101592/brandon-potomak,F,2013,18.388889,70,5,9,14,0.200000,1,1,70,0,0,1995-04-25,DY,R,No,0.000000,0
WHL,101592/brandon-potomak,F,2014,19.388889,30,1,1,2,0.070000,2,2,100,0,0,1995-04-25,DY+1,R,No,0.000000,0
WHL,101593/carter-popoff,F,2013,18.350000,63,15,12,27,0.428571,1,1,63,0,1,1995-05-09,DY,R,No,0.000000,0
WHL,101593/carter-popoff,F,2014,19.350000,72,13,51,64,0.888889,2,2,135,0,1,1995-05-09,DY+1,R,No,0.000000,0
WHL,101593/carter-popoff,F,2015,20.350000,72,24,26,50,0.694444,3,3,207,0,1,1995-05-09,DY+2,R,No,0.000000,0
WHL,101593/carter-popoff,F,2016,21.350000,65,12,26,38,0.584615,4,4,272,0,1,1995-05-09,DY+3,R,No,0.000000,0
WHL,101594/cole-sanford,F,2013,18.125000,53,2,9,11,0.207547,1,1,53,0,1,1995-07-31,DY,R,No,0.000000,0
WHL,101594/cole-sanford,F,2014,19.125000,72,33,40,73,1.013889,2,2,125,0,1,1995-07-31,DY+1,R,No,0.000000,0
WHL,101594/cole-sanford,F,2015,20.125000,72,50,45,95,1.319444,3,3,197,0,1,1995-07-31,DY+2,R,No,0.000000,0
WHL,101594/cole-sanford,F,2016,21.125000,63,41,29,70,1.111111,4,4,260,0,1,1995-07-31,DY+3,R,No,0.000000,0
USHL,101595/evan-tironese,F,2014,19.119444,56,10,28,38,0.678571,1,1,56,1,0,1995-08-02,DY+1,L,No,0.000000,0
WHL,101607/kevin-pochuk,D,2012,17.313889,8,1,1,2,0.250000,1,0,8,0,0,1995-05-22,DY-1,R,No,0.000000,0
WHL,101607/kevin-pochuk,D,2013,18.313889,32,2,3,5,0.160000,2,1,40,0,0,1995-05-22,DY,R,No,0.000000,0
WHL,101607/kevin-pochuk,D,2014,19.313889,10,0,2,2,0.200000,3,0,50,0,0,1995-05-22,DY+1,R,No,0.000000,0
WHL,101616/remi-laurencelle,F,2013,17.944444,70,4,12,16,0.228571,1,1,70,0,1,1995-10-05,DY-1,L,No,0.000000,0
WHL,101616/remi-laurencelle,F,2014,18.944444,58,2,13,15,0.258621,2,2,128,0,1,1995-10-05,DY,L,No,0.000000,0
WHL,101616/remi-laurencelle,F,2015,19.944444,63,23,19,42,0.666667,3,3,191,0,1,1995-10-05,DY+1,L,No,0.000000,0
WHL,101616/remi-laurencelle,F,2016,20.944444,69,28,30,58,0.840580,4,4,260,0,1,1995-10-05,DY+2,L,No,0.000000,0
WHL,101622/geordie-maguire,F,2013,18.411111,65,4,5,9,0.140000,1,1,65,0,0,1995-04-17,DY,L,No,0.000000,0
WHL,101622/geordie-maguire,F,2014,19.411111,35,8,7,15,0.428571,2,2,100,0,0,1995-04-17,DY+1,L,No,0.000000,0
WHL,101624/jonathon-martin,F,2012,17.061111,59,6,4,10,0.169492,1,1,59,0,1,1995-08-23,DY-1,R,No,0.000000,0
WHL,101624/jonathon-martin,F,2013,18.061111,68,9,7,16,0.235294,2,2,127,0,1,1995-08-23,DY,R,No,0.000000,0
WHL,101624/jonathon-martin,F,2014,19.061111,63,10,8,18,0.285714,3,3,190,0,1,1995-08-23,DY+1,R,No,0.000000,0
WHL,101624/jonathon-martin,F,2015,20.061111,56,7,17,24,0.428571,4,4,246,0,1,1995-08-23,DY+2,R,No,0.000000,0
WHL,101624/jonathon-martin,F,2016,21.061111,70,41,32,73,1.042857,5,5,316,0,1,1995-08-23,DY+3,R,No,0.000000,0
WHL,101632/christian-stockl,F,2013,18.411111,62,3,7,10,0.161290,1,1,62,1,0,1995-04-17,DY,R,No,0.000000,0
WHL,101633/nick-zajac,F,2012,17.466667,64,4,7,11,0.171875,1,1,64,0,1,1995-03-27,DY-1,L,No,0.000000,0
WHL,101633/nick-zajac,F,2013,18.466667,61,9,17,26,0.426230,2,2,125,0,1,1995-03-27,DY,L,No,0.000000,0
WHL,101633/nick-zajac,F,2014,19.466667,61,11,22,33,0.540984,3,3,186,0,1,1995-03-27,DY+1,L,No,0.000000,0
WHL,101633/nick-zajac,F,2015,20.466667,64,11,19,30,0.468750,4,4,250,0,1,1995-03-27,DY+2,L,No,0.000000,0
WHL,101633/nick-zajac,F,2016,21.466667,72,20,32,52,0.722222,5,5,322,0,1,1995-03-27,DY+3,L,No,0.000000,0
WHL,101642/tanner-faith,D,2013,17.944444,55,2,6,8,0.150000,1,1,55,0,0,1995-10-05,DY-1,R,Yes,0.000000,0
WHL,101642/tanner-faith,D,2015,19.944444,19,1,5,6,0.320000,2,0,74,0,0,1995-10-05,DY+1,R,Yes,0.000000,0
WHL,101642/tanner-faith,D,2016,20.944444,59,3,21,24,0.406780,3,2,133,0,0,1995-10-05,DY+2,R,Yes,0.000000,0
WHL,101647/brayden-burke,F,2015,18.705556,42,8,26,34,0.809524,1,1,42,0,1,1997-01-01,DY,L,No,0.000000,0
WHL,101647/brayden-burke,F,2016,19.705556,72,27,82,109,1.513889,2,2,114,0,1,1997-01-01,DY+1,L,No,0.000000,0
WHL,101647/brayden-burke,F,2017,20.705556,61,19,63,82,1.344262,3,3,175,0,1,1997-01-01,DY+2,L,No,0.000000,0
WHL,101647/brayden-burke,F,2018,21.705556,61,31,82,113,1.852459,4,4,236,0,1,1997-01-01,DY+3,L,No,0.000000,0
WHL,101648/trevor-cox,F,2012,17.091667,57,10,4,14,0.245614,1,1,57,0,1,1995-08-12,DY-1,L,No,0.000000,0
WHL,101648/trevor-cox,F,2013,18.091667,72,16,23,39,0.541667,2,2,129,0,1,1995-08-12,DY,L,No,0.000000,0
WHL,101648/trevor-cox,F,2014,19.091667,70,25,57,82,1.171429,3,3,199,0,1,1995-08-12,DY+1,L,No,0.000000,0
WHL,101648/trevor-cox,F,2015,20.091667,69,29,80,109,1.579710,4,4,268,0,1,1995-08-12,DY+2,L,No,0.000000,0
WHL,101648/trevor-cox,F,2016,21.091667,56,18,43,61,1.089286,5,5,324,0,1,1995-08-12,DY+3,L,No,0.000000,0
QMJHL,101652/nicholas-parisella,F,2011,17.877778,3,1,0,1,0.330000,1,0,3,1,0,1993-10-29,DY-1,R,No,0.000000,0
USHL,101671/richard-buri,D,2013,19.675000,24,0,1,1,0.041667,1,1,24,1,0,1994-01-12,DY+1,L,No,0.000000,0
OHL,101729/bryan-kazarian,F,1999,18.208333,41,1,5,6,0.150000,1,1,41,0,1,1981-06-30,DY,R,No,0.000000,0
OHL,101729/bryan-kazarian,F,2000,19.208333,68,22,38,60,0.882353,2,2,109,0,1,1981-06-30,DY+1,R,No,0.000000,0
OHL,101729/bryan-kazarian,F,2001,20.208333,68,16,28,44,0.647059,3,3,177,0,1,1981-06-30,DY+2,R,No,0.000000,0
OHL,101743/ryan-chapman,F,2000,19.430556,7,1,0,1,0.140000,1,0,7,0,0,1981-04-10,DY+1,R,No,0.000000,0
OHL,101743/ryan-chapman,F,2001,20.430556,20,1,1,2,0.100000,2,1,27,0,0,1981-04-10,DY+2,R,No,0.000000,0
OHL,101749/rodney-bauman,F,2001,18.497222,47,9,9,18,0.382979,1,1,47,0,1,1983-03-16,DY,L,No,0.000000,0
OHL,101749/rodney-bauman,F,2002,19.497222,66,16,13,29,0.439394,2,2,113,0,1,1983-03-16,DY+1,L,No,0.000000,0
OHL,101749/rodney-bauman,F,2003,20.497222,59,15,21,36,0.610169,3,3,172,0,1,1983-03-16,DY+2,L,No,0.000000,0
OHL,101749/rodney-bauman,F,2004,21.497222,49,17,28,45,0.918367,4,4,221,0,1,1983-03-16,DY+3,L,No,0.000000,0
OHL,101750/richard-colwill,F,2001,19.636111,40,3,3,6,0.150000,1,1,40,0,0,1982-01-26,DY+1,R,No,0.000000,0
OHL,101750/richard-colwill,F,2002,20.636111,52,3,20,23,0.442308,2,2,92,0,0,1982-01-26,DY+2,R,No,0.000000,0
WHL,101863/mikulas-rimmel,F,2013,17.983333,43,3,4,7,0.160000,1,1,43,1,0,1995-09-21,DY-1,R,No,0.000000,0
OHL,101949/jean-dupuy,F,2012,17.941667,50,3,5,8,0.160000,1,1,50,0,1,1994-10-06,DY-1,L,No,0.000000,0
OHL,101949/jean-dupuy,F,2013,18.941667,42,4,3,7,0.170000,2,2,92,0,1,1994-10-06,DY,L,No,0.000000,0
OHL,101949/jean-dupuy,F,2014,19.941667,48,10,8,18,0.375000,3,3,140,0,1,1994-10-06,DY+1,L,No,0.000000,0
OHL,101949/jean-dupuy,F,2015,20.941667,54,18,28,46,0.851852,4,4,194,0,1,1994-10-06,DY+2,L,No,0.000000,0
USHL,101957/brandon-hawkins,F,2014,20.388889,54,26,22,48,0.888889,1,1,54,1,0,1994-04-25,DY+2,R,No,0.000000,0
